url,image_url,title_resep,bahan_resep,penyajian_resep
https://resepkoki.co/ayam-lombok-ijo/,https://resepkoki.co/wp-content/uploads/2019/10/ayam-lombok-ijo-.jpg,Ayam Lombok Ijo,"500 gr ayam, potong sesuai selera 150 gr cabe hijau keriting 100 gr cabe hijau besar 10 bh bawang merah 2 bh tomat hijau, iris tipis 2 lmbr daun jeruk 1 sdm air jeruk nipis Garam, secukupnya Gula, secukupnya","Langkah 1: Lumuri ayam dengan garam, merica bubuk dan jeruk nipis. Diamkan 30 menit. Goreng hingga kecoklatan. Langkah 2: Rebus sebentar cabe hijau keriting, cabe hijau besar dan bawang. Beri perasan jeruk nipis, hancurkan kasar dengan chopper Food Chopper Mitochiba CH Serieskarena mudah dan praktis banget penggunaannya. Langkah 3: Tumis hingga layu bahan yang sudah di chopper tadi, masukan irisan tomat, garam dan gula pasir. Aduk. Masukan ayam, aduk hingga bumbu meresap, koreksi rasa. Angkat dan sajikan"
https://resepkoki.co/ngohiong-halal/,https://resepkoki.co/wp-content/uploads/2019/09/ngohiong-hala-3.jpg,Ngohiong Halal,"1 kg daging ayam bagian dada/paha, cincang halus 300 gr Udang yg sudah dikupas, cincang halus 200 gr Ikan tenggiri, haluskan 200 gr bengkuang, parut halus 100 gr tepung terigu protein sedang 50 gr wortel, parut halus 15 siung bwg putih, cincang halus 2 btg daun bawang, cincang halus 2 bh jamur shitake, cincang halus 2 butir telur 1,5 sdm bubuk Ngohiong (sesuai selera mau seberapa strong wanginya) 1,5 sdm garam 1 sdm kaldu bubuk 1 sdt merica 2 sdt gula 2 sdm minyak wijen Kulit tahu, secukupnya (untuk membungkus adonan Ngohiong)","Masukkan semua bahan dalam tabung Food Chopper Mitochiba CH Series aduk hingga tercampur rata, kecuali tepung terigu dan kulit tahu. Setelah itu baru masukkan tepung terigu, aduk lagi hingga benar-benar tercampur rata menjadi satu dan halus. Ambil 1 lembar kulit tahu lalu letakkan diatas talenan, beri adonan Ngohiong sesuai selera, gulung dan padatkan, lakukan seterusnya hingga adonan habis. Setelah itu panaskan kukusan, kukus Ngohiong tersebut hingga matang kurang lebih 15 menit dengan api besar Setelah matang, angkat dan keluarkan Ngohiong dari kukusan, biarkan hingga dingin dalam suhu ruang."
https://resepkoki.co/egg-chicken-roll/,https://resepkoki.co/wp-content/uploads/2019/09/egg-chicken-roll-.jpg,Egg Chicken Roll,250 gr fillet paha ayam 1 btr putih telur 1 sdt merica 3 siung bawang putih 3 sdm terigu 3 sdt gula 3 sdt garam 3 sdt kaldu bubuk 75 ml air 10 gr tepung custard (Optional)** 2 btr telur 1 kuning telur 3 sdm terigu 1 sdt mentega cair,"Blender bawang putih dan ayam hingga halus, kemudian masukkan semua bahan isi, blender hingga adonan tercampur rata. Sisihkan Campur semua bahan kulit dadar menjadi satu, kocok rata, saring. Panaskan wajan anti lengket, tuang adonan kulit dadar tipis-tipis. Angkat, lakukan hingga adonan habis. Ambil 1 kulit dadar, isi dengan adonan yang sudah diblender tadi, ratakan ke seluruh permukaan kulit dadar, gulung, padatkan. Lakukan hingga adonan habis. Bungkus adonan dengan alumunium foil yag sudah dioles mentega, gulung, padatkan. Kukus selama 20 menit, angkat, buka alumunium foil, dinginkan di suhu ruang."
https://resepkoki.co/resep-fire-wings-ala-rumahan-saus-keju/,https://resepkoki.co/wp-content/uploads/2019/03/richeese-fire-wings-05.jpg,Resep Rahasia Richeese Fire Wings ala Rumahan + Saus Keju,"1/2 kg sayap ayam 1 sachet tepung bumbu sasa 3 buah bawang putih keprek rajang kasar 4 sdm saos sambal 2 sdm saos tomat 4 sdm saos barbeque 1 sdt minyak wijen 1 sdm saos tiram 1 sdm madu 1/2 sdt garam 1 sdm bon cabe (level 10) 100 ml susu UHT, susu bubuk dan air Keju cheddar, parut 1 sachet bubur tabur kentang rasa keju 1 sdm maizena larutkan dengan air 1 sdm margarin Wijen putih","Seporsi fire wings bisa merogoh kocek sampai 40 ribu rupiah, hmm cukup mahal jika membawa satu keluarga makan disana. Tenang sekarang Bunda Vivin Sugiana akan membagikan resep fire wings ala rumahan beserta saus keju yang mantap itu. Yuk simak; Langkah 1: Baluri Ayam Dengan Tepung Cuci bersih ayam, lumuri sedikit garam sisihkan. Kemudian balut ayam dengan adonan basah dan kering dengan menggunakan tepung bumbu. Untuk lebih krispi bisa cek disini >> https://resepkoki.co/cara-membuat-ayam-goreng-kfc Langkah 2: Goreng Ayam Panaskan minyak cukup banyak, kemudian goreng ayam hingga matang, tiriskan dan sisihkan. Langkah 3: Membuat Fire Wings Panaskan 1 sdm margarin. Masukkan bawang putih, tumis hingga harum. Masukkan saus sambal, saus tomat, minyak wijen, saus tiram, garam, madu, dan boncabe. Masak hingga kental dan jangan lupa tes rasa. Masukkan ayam goreng ke dalam bahan saus pedas. Aduk hingga rata. Masak hingga bumbu meresap dengan api kecil. Angkat dan sisihkan. Langkah 4: Membuat Saus Keju Panaskan 1 sdm margarin, masukkan susu cair, dan keju parut. Aduk hingga kental, biarkan keju meleleh jangan lupa masak dengan api kecil. Tambahkan bumbu keju tabur bubuk kemudian aduk hingga rata. Masukkan larutan air dan maizena, aduk hingga kental dan meletup. Angkat. Sisihkan. Sajikan! Cara penyajiannya: Siapkan ayam di atas piring kemudian taburi dengan biji wijen dan siapkan saos kejunya."
https://resepkoki.co/ayam-bakar-happy-call-praktis/,https://resepkoki.co/wp-content/uploads/2019/03/ayam-bakar-HP-07.jpg,Ayam Bakar Happy Call Praktis,"1 ekor ayam, potong sesuai selera 2 batang serai, ambil bagian putihnya, memarkan 4 lembar daun salam 20 gr asam jawa, larutkan dan remas-remas dalam 3sdm air panas, ambil airnya 500 ml air kelapa 50 gr gula merah (gula jawa), sisir halus 10 butir bawang merah 5 siung bawang putih 5 butir kemiri 1 sdm ketumbar 1 ruas kunyit 1 ruas lengkuas, keprek 1 sdt garam 1 sdm gula pasir 1/2 sdt merica bubuk 1 sdm kecap manis","Langkah 1; Siapkan semua bahan Langkah 2; Haluskan bahan bumbu yang sudah disiapkan tadi. Langkah 3; Panaskan wajan, masukkan bumbu halus tumis hingga wangi. Kemudian masukkan daun salam dan sereh aduk lagi hingga tercium aroma wangi. Langkah 4; Tambahkan air asem jawa, aduk merata hingga tercampur ke bumbu. Kemudian masukkan potongan ayam, aduk merata dengan bumbu. Masukkan air kelapa aduk merata dan masak hingga bumbu meresap dan air mengering Langkah 5; Siapkan Happy Call Jumbo 32cm olesi kedua sisi pan dengan sedikit mentega. Setelah panas masukkan potongan ayam bumbu tadi masak hingga matang dan jangan lupa di bolak-balik sambil diolesi kecap/sisa bumbu agar ayam panggang lebih lezat. Sajikan!"
https://resepkoki.co/ayam-presto-tulang-lunak/,https://resepkoki.co/wp-content/uploads/2018/12/ayam-presto-tulang-lunak-01.jpg,Ayam Presto Tulang Lunak,"1 ekor ayam pejantan 3 Liter Air 4 butir kemiri dihaluskan 3 siung bawang putih, geprek 3 ruas lengkuas 3 lembar daun jeruk 1 sdm ketumbar bubuk Garam, secukupnya","Resep yang satu ini di lansir dari laman cookpad Bunda Mamak Nuning yang sudah di modifikasi oleh ResepKoki.co , yuk simak resepnya; Langkah 1: Potong ayam menjadi 8 bagian atau sesuai selera Langkah 2: Masukkan semua bahan beserta bumbu kedalam panci presto. Kemudian rebus kurang lebih 25 menit. Masak dengan api sedang. Langkah 3: Matikan api, kemudain buka tutup panci presto dan biarkan uap panasnya keluar. Tunggu hingga uap panas hilang. Biarkan hingga benar-benar dingin agar pada saat mengambil ayamnya tidak rawan hancur. Selain itu agar bumbu-bumbu bisa lebih meresap. Langkah 4: Pisahkan ayam dengan air kaldu. Anda bisa langsung menggoreng ayam atau disimpan utk stok besok. Bisa Tahan 5 hari dengan disimpan di lemari es. Sajikan Ayam Goreng Presto Tulang Lunak dengan berbagai sambal favorite keluarga. Selamat mencoba ^^"
https://resepkoki.co/ayam-krispi-saus-keju/,https://resepkoki.co/wp-content/uploads/2018/09/upan-resep-01-400x400.jpg,Ayam Krispi Saus Keju By @deviirwantari,"8 paha ayam 2 liter minyak, untuk menggoreng 7 bawang putih 1 sdt garam 1 sdt minyak wijen 1/2 sdm lada butir 500 ml air hangat 250 ml susu UHT 1 sdt garam 700 gr tepung serbaguna 2 sdm garam 1 sdm bubuk bawang putih 1/2 sdm lada butir, haluskan 1/2 sdm kaldu bubuk Alsultan ayam NON MSG, optional 100 gr keju chedar, parut halus 250 ml susu UHT 2 sdm margarin 1 sdm tepung terigu","Cuci bersih ayam, tusuk-tusuk menggunakan garpu agar bumbu lebih meresap. Campurkan semua bahan bumbu renadam (marinasi),masukkan daging ayam sambil di remas-remas agar bumbu masuk secara rata. Diamkan semalaman di dalam kulkas Masukkan daging ayam yang sudah dibumbui kedalam bahan pencelup, teriskan dan lanjutkan dengan bahan pelapis. Lakukan sebanyak kurang lebih 4x agar ayam crispi dipermukaan. Lanjutkan hingga semua ayam bumbu habis. Panaskan 2 liter minyak goreng di dalam Panci Upan 6in1. Goreng ayam sampai matang dengan warna keemasan. Angkat dan tiriskan."
https://resepkoki.co/steak-ayam-crispy-simple-ala-rumahan/,https://resepkoki.co/wp-content/uploads/2018/09/steak-ayam-crispy-08.jpg,Steak Ayam Crispy Simple Ala Rumahan,"1/2 bagian dada ayam tanpa tulang 1 bh telur, kocok lepas Tepung bumbu serbaguna 1 bh Kentang 1/4 bh Wortel 3 bh Buncis 2 bh Bawang putih 300 ml Air Garam, secukupnya Gula, secukupnya Lada putih bubuk, secukupnya 3 sdm saos sambal 2 bawang putih 2 saos tomat 1 sdt kecap 1 Bawang bombay kecil Lada bubuk hitam, secukupnya Air, secukupnya Garam, secukupnya Maizena, secukupnya","Sponsor: Asta UPAN 6 in 1 – Panci Set Serbaguna. Panci dengan kapasitas memasak LEBIH BESAR 25% dan mempunyai 6 fungsi dalam 1 alat: menggoreng, memanggang, mamasak, menumis, merebus, dan mengukus. Resep di bawah ini dapat dibuat menggunakan UPAN 6 in 1. Iris daging ayam memanjang. Kemudian siapkan tepung bumbu dan kocok telur Masukkan irisan daging ayam kedalam tepung kemudian masukkan ke dalam kocokan telur dan terakhir masukkan ke dalam tepung bumbu (Ketebalan tepung bisa disesuaikan) Potong wortel, kentang, dan buncis sesuai selera Goreng daging ayam dan kentang dengan minyak cukup banyak. Anda bisa menggunakan Asta UPAN 6 in 1, Ceramic Tech – Panci Set Serbaguna agar hasil masakan lebih matang secara merata dan juga hidangan menjadi lebih sehat karena benar-benar kering dari minyak ^^ 2 bawang putih dicincang kasar. Kemudian tumis sebentar, masukkan air dan tambahkan garam, gula, dan lada bubuk secukupnya. Masukkan wortel dan buncis. Tunggu sampai airnya habis dan wortel buncis agak empuk. Setelah air habis. Tiriskan. Cincang kasar 2 bh bawang putih, iris memangjang 1 bh bawang bombay. Kemudian tumis hingga harum. Masukkan saos sambal, saos tomat, kecap, dan lada hitam bubuk. Setelah itu masukkan sedikit air aduk rata. Tambahkan garam, Koreksi rasa. Masukkan sedikit maizena agar lebih kental. Masak hingga mendidih. Siapkan piring saji, tata daging ayam dan sayuran. Anda bisa menyajikan saus secara terpisah atau dituangkan diatas daging ayam. Selamat mencoba :”"
https://resepkoki.co/kulit-ayam-pedas/,https://resepkoki.co/wp-content/uploads/2018/02/kulit-ayam-pedas.jpg,Resep Kulit Ayam Pedas,"150 gr kulit ayam bersih 150 ml air 1 buah jeruk nipis 1 cup tepung terigu 1/4 cup tepung sagu 3 sdm gula merah sisir 1 sdm gula jawa Garam, secukupnya Merica, secukupnya Gula, secukupnya Minyak, untuk menggoreng 10 pcs cabai rawit 2 lembar daun jeruk 5 pcs cabai merah kriting 2 siung bawang putih 5 siung bawang merah 1 ruas jahe 1 sdm Minyak","Langkah 1 : Cuci bersih kulit ayam, potong sesuai selera kemudian tambahkan perasan jeruk. Diamkan sejenak Langkah 2 : Haluskan 2 siung bawang putih kemudian campurkan di dalam kulit ayam beserta garam, merica dan perasan jeruk, aduk rata dan sisihkan. Langkah 3 : Haluskan menggunakan food processor 10 buah cabai rawit, 5 buah cabai merah keriting, 5 siung bawang merah, 2 siung bawang putih, 2 lembar daun jeruk, 1 ruas jahe dan sedikit minyak. Sisihkan Langkah 4 : Siapkan wadah, masukkan tepung sagu, tepung terigu, merica dan garam, aduk rata. Masukkan kulit ayam dengan tepung, lakukan sampai habis. Langkah 5 : Panaskan minyak cukup banyak masukkan kulit ayam yang sudah di balur tepung, goreng hingga crispy dan tiriskan. Langkah 6 : Tumis bumbu halus hingga bau langu hilang. Kemudian masukan air, garam, gula dan gula merah. Langkah 7 : Masak hingga agak mengental lalu masukan kulit dan aduk merata."
https://resepkoki.co/ayam-tangkap-aceh/,https://resepkoki.co/wp-content/uploads/2017/11/resep-ayam-tangkap-1.jpg,"Cara Membuat Ayam Tangkap, Kuliner Asal Aceh","1 ekor ayam potong 24 bagian 6 lembar daun pandan ikat 8 tangkai daun salam koja,petik daunnya 1 sdm air asam 2 ¼ sdt garam ½ sdt gula pasir ¼ sdt lada bubuk 500 ml air 12 butir bawang merah 3 siung bawang putih 3 buah cabai rawit merah 4 cm kunyit bakar 2 cm jahe 4 lembar daun pandan, iris 8 tangkai daun salam koja, petik daunnya 6 lembar daun jeruk, buang tulang 5 buah cabai hiau besar, belah 2 bagian 2 lembar daun kunyit, potong kecil","Langkah 1 : Haluskan 12 butir bawang merah, 3 siung bawang putih, 3 buah cabai rawit merah, 4 cm kunyit bakar, 2 cm jahe dengan air secukupnya. Langkah 2 : Masukkan ayam, bumbu halus, ,5 lembar daun pandan ikat, 8 tangkai daun salam koja, 1 sdm air asam, 2 ¼ sdt garam, ½ sdt gula pasir, ¼ sdt lada bubuk, dan 400 ml air. Masak hingga bumbu meresap dan air asat (hampir habis). Langkah 3 : Panaskan minyak lalu goreng semua bahan daun pengharum sampai layu. Lalu masukkan ayam untuk digoreng sampai warna coklat keemasan. Ayam tangkap yang renyah dan gurih siap dihidangkan untuk dinikmati bersama. Lengkapi dengan nasi putih dan sambal untuk menambah selera makan Anda. Jangan ragu untuk mencoba resep yang lezat ini ya! Klik “Subscribe” untuk terus mendapatkan info dan tips masak terbaru dari kami."
